PatientID,Name,SSN,PhoneNumber,Email,InsuranceID,Gender,DateOfBirth,Age,Diagnosis,TreatmentPlan,Medications,LabResults,Allergies,LastVisitDate,DoctorAssigned,Notes,DataDeletionRequested
75,Leah Boyle,014-19-7053,526.375.9378x38445,jamestaylor@example.com,Cvl-5201566,Male,1981-11-11,46,Diabetes,Quite who measure by.,"Simvastatin, Metformin, Lisinopril","{""WBC"": 7999.7, ""Hgb"": 16.6, ""Platelets"": 381.5, ""Glucose"": 128.4}",None,2026-02-21,James Johns,Exist meeting reason likely our modern money.,False
76,Carolyn Trujillo,616-32-4400,251-497-7115,freynolds@example.org,Odz-2722778,Other,1936-03-19,77,Diabetes,Meet up side sometimes.,Amlodipine,"{""WBC"": 10847.7, ""Hgb"": 13.4, ""Platelets"": 380.2, ""Glucose"": 116.2}",None,2025-07-29,Michael Edwards,Yeah better state morning different rock contain property community early stuff partner style.,False
77,Brittney Mata MD,859-81-8214,300-533-6930,iroberson@example.com,pDN-2442235,Female,1969-02-27,50,Obesity,Send audience PM water part certainly human.,Albuterol,"{""WBC"": 4714.0, ""Hgb"": 17.1, ""Platelets"": 381.4, ""Glucose"": 78.1}",Latex,2025-08-01,Steven Richardson,Age chance indicate each window lead lead to.,False
78,Joseph Jenkins,301-34-5401,001-698-730-3359x7356,annacrawford@example.org,rPN-7626812,Other,1989-05-06,45,Hypertension,Attack create article each.,"Lisinopril, Levothyroxine, Omeprazole","{""WBC"": 10199.6, ""Hgb"": 14.1, ""Platelets"": 205.7, ""Glucose"": 76.1}",Peanuts,2025-04-28,Lori Hamilton,Look place win land stuff away various expect positive.,True
79,Gary Jefferson,469-37-5275,+1-820-210-3575x1314,lrivera@example.com,ElM-6403764,Other,2002-11-06,93,Depression,Per defense conference would how employee rather vote.,Levothyroxine,"{""WBC"": 4962.3, ""Hgb"": 16.5, ""Platelets"": 256.9, ""Glucose"": 90.1}",Pollen,2025-06-07,Brandon Moore,Owner test explain big along give understand difference end close much movement.,False
80,Kristin Perry,625-92-5898,001-977-890-6063x27349,clayanthony@example.org,ywD-6187472,Male,2014-12-24,43,Depression,Account father whom style crime force drug.,Hydrochlorothiazide,"{""WBC"": 6794.9, ""Hgb"": 13.1, ""Platelets"": 309.4, ""Glucose"": 91.0}",Penicillin,2026-01-26,Lindsay Rodgers,Operation themselves not soldier common agree sometimes yourself past.,True
81,Patricia Sherman,601-06-8212,(957)371-0903,rodneyhoffman@example.com,hpQ-9029619,Female,1930-11-13,53,COPD,Per whose police whose class.,Simvastatin,"{""WBC"": 10237.0, ""Hgb"": 15.6, ""Platelets"": 196.5, ""Glucose"": 103.8}",Pollen,2025-10-25,Marie Harmon,With establish establish image society crime tonight unit particular.,True
82,Adam Ward,202-29-1947,001-357-884-2730x00289,holly15@example.com,weq-7234953,Male,1994-07-08,19,Asthma,Tree result positive guy partner on reason.,"Atorvastatin, Metformin","{""WBC"": 9635.3, ""Hgb"": 17.0, ""Platelets"": 291.5, ""Glucose"": 81.6}",Penicillin,2026-02-24,Natalie Lyons,Lay building fight president feel beyond sea nearly happen.,False
83,Brent Ellis,251-27-7033,+1-360-212-1980x3840,crystalmartin@example.net,Xbn-0612599,Male,1959-10-06,76,Depression,Research right respond car thing because phone mission.,"Simvastatin, Amlodipine, Albuterol","{""WBC"": 9553.4, ""Hgb"": 17.1, ""Platelets"": 235.8, ""Glucose"": 83.4}",Shellfish,2026-01-23,Tammy Deleon,Raise will make green serious say or save mission little.,True
84,Lee Martin,183-58-8018,+1-616-680-4167x366,pvazquez@example.com,BJP-7616760,Male,2016-12-13,64,Migraine,Smile gun capital garden forward.,Metformin,"{""WBC"": 6149.3, ""Hgb"": 14.4, ""Platelets"": 374.2, ""Glucose"": 129.6}",Latex,2025-05-26,Jason Mcknight,North strong which quite imagine action.,True
85,Logan Maldonado,316-53-4750,+1-243-486-9321,stevenpeters@example.net,YtH-4398584,Male,2007-09-24,90,Asthma,Determine pass eat until perhaps.,"Hydrochlorothiazide, Metformin, Gabapentin","{""WBC"": 5126.9, ""Hgb"": 16.9, ""Platelets"": 287.6, ""Glucose"": 110.1}",None,2025-09-29,Jason Norton,Attorney fish room toward skin answer president hospital significant.,True
86,Patrick Powell,633-32-5375,6867335409,marieschmidt@example.com,HjK-2069986,Other,2023-09-23,26,Migraine,Authority health wear his wind.,Omeprazole,"{""WBC"": 6082.5, ""Hgb"": 15.3, ""Platelets"": 324.1, ""Glucose"": 137.5}",Latex,2025-05-22,Jasmine Oliver,Share arrive office structure stand mother surface move best each tough ok gas.,False
87,Christie Jimenez,154-37-7523,+1-573-216-7004x99353,kgarcia@example.org,nqK-4189568,Male,1989-10-13,94,Diabetes,Beautiful morning individual but beat vote.,Levothyroxine,"{""WBC"": 9341.5, ""Hgb"": 14.1, ""Platelets"": 241.9, ""Glucose"": 98.7}",Shellfish,2025-06-23,Michele Black,Hard difficult almost very do true join another blue score then.,False
88,Alexander Mcdonald,111-29-7780,(708)437-3245x050,martinezvictor@example.org,LIY-6436181,Male,1982-04-13,63,Hypothyroidism,Ten can material rate suggest offer.,"Amlodipine, Simvastatin, Gabapentin","{""WBC"": 4311.1, ""Hgb"": 13.7, ""Platelets"": 394.7, ""Glucose"": 70.8}",Pollen,2025-10-31,Jeremy Watkins,Modern need place every impact responsibility exactly statement.,True
89,Sarah Sanchez,849-07-1671,(222)298-1254x4436,jonesthomas@example.org,jea-5116129,Other,2014-04-30,41,Arthritis,Letter risk forget win section various.,Omeprazole,"{""WBC"": 4913.0, ""Hgb"": 15.6, ""Platelets"": 222.1, ""Glucose"": 88.7}",Pollen,2026-02-19,Sheri Hicks,Bit thus player require citizen skill.,False
90,Vanessa Ingram,402-77-4815,+1-558-799-2628,jennifer89@example.com,SgM-6218722,Other,1954-12-19,29,Depression,Certainly land perform trial music federal agree.,"Lisinopril, Simvastatin","{""WBC"": 4085.9, ""Hgb"": 13.0, ""Platelets"": 198.5, ""Glucose"": 88.4}",Shellfish,2025-11-16,Matthew Miller,Water thank true political want interview who beautiful involve day.,False
91,Kimberly Rojas,362-90-8265,001-985-645-4408x993,williamsmichele@example.net,zhn-5894078,Female,1929-02-18,43,Depression,Doctor mission order however two.,Amlodipine,"{""WBC"": 5141.7, ""Hgb"": 15.5, ""Platelets"": 336.7, ""Glucose"": 104.9}",Peanuts,2026-02-05,James Thomas,President idea word court season explain word student very type quickly image call.,True
92,Kim Sanders,228-14-4774,923.484.3537,karen02@example.com,zct-3705549,Female,1959-10-05,89,COPD,Answer research of study.,Lisinopril,"{""WBC"": 7456.5, ""Hgb"": 16.4, ""Platelets"": 186.7, ""Glucose"": 102.4}",Peanuts,2025-05-04,Hector Boyd,Lose control because start discussion dog.,False
93,Joseph Frank,463-41-0128,2706870634,dustin06@example.org,yNG-2803304,Female,1964-04-21,89,Depression,Region situation decide main enjoy ever plan fund.,"Hydrochlorothiazide, Omeprazole, Amlodipine","{""WBC"": 5001.3, ""Hgb"": 16.3, ""Platelets"": 333.7, ""Glucose"": 79.8}",Penicillin,2025-10-20,Nicholas Smith,Spend best method recent sister several discover respond social race per.,False
94,Christopher King,690-10-3565,982.875.9940x4746,moorewarren@example.org,TOR-9531863,Other,1945-12-25,36,Depression,Often approach first each likely environmental meeting.,Gabapentin,"{""WBC"": 6507.6, ""Hgb"": 15.8, ""Platelets"": 248.7, ""Glucose"": 97.3}",Pollen,2025-08-19,Rodney Lane,Worry use air glass type whose notice once role.,True
95,Mark Johnson,387-54-1417,7636690975,christina21@example.net,vre-3739327,Male,1984-10-22,44,Depression,Later present certainly environment yes fill.,"Omeprazole, Gabapentin, Simvastatin","{""WBC"": 4566.5, ""Hgb"": 14.2, ""Platelets"": 193.9, ""Glucose"": 105.9}",Penicillin,2025-07-27,Miss Jennifer Le,Build contain read reality chair national strategy analysis their often specific artist visit former.,True
96,Michael Gay,730-92-8376,4027449323,michelle26@example.org,Pqz-1782907,Female,2007-12-09,45,Arthritis,Eight least though hot.,"Atorvastatin, Amlodipine, Gabapentin","{""WBC"": 6344.3, ""Hgb"": 17.4, ""Platelets"": 278.1, ""Glucose"": 82.3}",Shellfish,2025-12-13,Kevin Harris,Science poor actually radio read usually season.,False
97,Heather Kelly,226-29-3109,8396471253,marquezkeith@example.com,yfG-4199842,Female,1940-11-15,42,Arthritis,Move physical yet again morning after.,"Albuterol, Omeprazole","{""WBC"": 7759.7, ""Hgb"": 12.5, ""Platelets"": 263.8, ""Glucose"": 75.5}",Latex,2025-03-20,Krista Jacobson,Look list throw here without weight successful.,False
98,Pamela Costa,146-98-8436,669.461.1187,msalazar@example.org,UKS-1233231,Male,1963-10-22,60,Migraine,My hot book.,"Gabapentin, Amlodipine","{""WBC"": 7407.4, ""Hgb"": 14.3, ""Platelets"": 163.3, ""Glucose"": 118.8}",Latex,2025-07-21,Christopher Wang,Game knowledge box realize gas media.,False
99,Steven Benitez,638-39-8401,511-959-2646,mitchellshawn@example.com,nNa-4016831,Other,1962-01-20,79,Anxiety,Exactly chance figure past vote.,"Gabapentin, Hydrochlorothiazide","{""WBC"": 5606.9, ""Hgb"": 12.1, ""Platelets"": 274.3, ""Glucose"": 109.0}",Pollen,2025-12-03,Brian Harris,Do plan small few size rather you.,True
100,Phyllis Johnson,183-71-3900,7194842179,washingtonjoseph@example.net,JVk-9461092,Male,1933-06-18,50,Hypertension,Local mission one less adult item.,"Atorvastatin, Gabapentin, Omeprazole","{""WBC"": 4343.5, ""Hgb"": 16.3, ""Platelets"": 352.7, ""Glucose"": 122.9}",Pollen,2025-12-10,Nicholas Wheeler,Show share sport mother do word.,True
101,Terry Glover,868-66-1089,3316301173,rosedesiree@example.net,lot-3853260,Female,1927-09-29,100,COPD,Myself expert fly magazine she kitchen enter.,"Omeprazole, Lisinopril, Levothyroxine","{""WBC"": 9677.2, ""Hgb"": 15.7, ""Platelets"": 322.5, ""Glucose"": 107.7}",Pollen,2025-07-27,Daniel Phelps,Consumer week include hospital appear media main value enjoy.,False
102,Alice Zuniga,670-36-5584,543.844.2560,xbrown@example.com,saj-4559434,Female,1959-11-09,44,Diabetes,Particular so president foreign team.,"Simvastatin, Amlodipine","{""WBC"": 5352.9, ""Hgb"": 15.3, ""Platelets"": 181.4, ""Glucose"": 95.5}",Penicillin,2025-07-02,Julie Jones,Other accept staff partner take actually population industry industry sport measure serious.,False
103,Jennifer Perez,815-44-8595,4099584397,ianclements@example.org,NyG-4027239,Female,2013-01-01,21,Depression,Ability game they also common including doctor.,"Gabapentin, Atorvastatin","{""WBC"": 8455.5, ""Hgb"": 15.2, ""Platelets"": 155.7, ""Glucose"": 114.4}",Shellfish,2025-11-13,Francisco Livingston,Walk business project care worry system popular nature reality tell clear.,False
104,Robert Hamilton,500-94-4332,001-469-957-7439,mmathis@example.com,tzX-3275925,Other,1980-07-14,94,Arthritis,Bed computer ago office.,Hydrochlorothiazide,"{""WBC"": 6009.9, ""Hgb"": 12.7, ""Platelets"": 175.8, ""Glucose"": 112.2}",Shellfish,2025-04-18,Colleen Escobar,Environmental sea party white minute read part condition dinner especially fund continue.,True
105,Lisa Weber,500-30-3027,(305)501-5105,nicholas45@example.org,URq-2100156,Female,1970-04-24,6,Depression,Girl personal also task return.,"Simvastatin, Levothyroxine","{""WBC"": 7141.5, ""Hgb"": 17.2, ""Platelets"": 237.1, ""Glucose"": 111.3}",Peanuts,2025-05-02,Richard Bauer,Kitchen nothing hospital employee tell trade.,False
106,Charles Nguyen,607-16-9223,001-780-776-7871,kelliott@example.com,DfR-2217189,Female,1993-05-01,35,Migraine,Later ok accept raise.,"Amlodipine, Albuterol, Levothyroxine","{""WBC"": 10637.2, ""Hgb"": 14.4, ""Platelets"": 304.1, ""Glucose"": 129.6}",Pollen,2025-04-25,Brooke Jones,Without every with involve security throw.,False
107,Cynthia Sullivan,650-27-6546,849.832.9382x8495,stevenreeves@example.com,pda-2606567,Male,2003-03-25,11,Anxiety,Set room create score skin write reach else.,Simvastatin,"{""WBC"": 8939.4, ""Hgb"": 17.2, ""Platelets"": 224.3, ""Glucose"": 75.7}",Peanuts,2025-10-29,Melissa Scott,Nor seem fish one cover may nothing must.,True
108,Rachel Obrien,521-48-9775,001-812-570-5557x90811,ewagner@example.org,Key-2398865,Other,1953-10-14,23,Anxiety,For father skill almost apply toward knowledge.,Omeprazole,"{""WBC"": 6167.5, ""Hgb"": 13.8, ""Platelets"": 291.7, ""Glucose"": 138.8}",Pollen,2025-07-03,Jacqueline Scott,Already issue realize tax improve central.,False
109,Mrs. Sandra Fox PhD,217-19-9998,785-915-0580x95554,rhunt@example.com,NaD-0056543,Female,1960-09-16,50,COPD,Prevent stay way theory relate bed citizen player.,"Metformin, Amlodipine","{""WBC"": 10043.4, ""Hgb"": 13.6, ""Platelets"": 328.9, ""Glucose"": 140.0}",Pollen,2026-02-11,Nathaniel Jordan,West marriage including author not at history summer ten personal ground compare ability.,True
110,Travis Obrien,297-97-7696,(369)662-7471x516,cjones@example.com,qXi-4647561,Female,1991-03-11,7,Hypertension,Rest election listen water friend contain TV various.,Gabapentin,"{""WBC"": 4233.7, ""Hgb"": 13.7, ""Platelets"": 398.2, ""Glucose"": 135.7}",None,2025-09-26,Valerie Lyons,Arrive child us as performance add talk character ability difference pick.,False
111,Charles Hughes,317-68-7634,757.850.6081x6817,xnelson@example.org,dJp-7435075,Female,1937-10-15,96,Diabetes,Fast third true actually.,"Simvastatin, Gabapentin, Metformin","{""WBC"": 9858.8, ""Hgb"": 16.0, ""Platelets"": 293.4, ""Glucose"": 91.5}",Latex,2025-08-19,Victoria Griffin,Reason prepare how shoulder possible address write.,False
112,Sara Le,865-49-9646,6084893618,jordanamber@example.net,yDU-7553885,Male,1985-05-11,31,Hypertension,Vote economy knowledge.,Albuterol,"{""WBC"": 5306.4, ""Hgb"": 16.7, ""Platelets"": 230.5, ""Glucose"": 132.7}",Peanuts,2025-03-23,Leslie Beltran,Discussion value sort true notice floor gas hand early network.,False
113,Crystal Lee,447-48-7627,240.810.2026x141,stephen40@example.org,ROo-6048910,Other,2008-07-30,64,Asthma,Order apply dog sport.,Simvastatin,"{""WBC"": 9249.0, ""Hgb"": 16.2, ""Platelets"": 374.8, ""Glucose"": 92.4}",Latex,2025-05-24,Mark Robles,Full officer always executive all state ball check federal voice television local find.,True
114,Steven Thomas,412-82-7871,930.561.4455x19594,erikabarber@example.com,lKv-1554105,Female,1951-03-27,1,COPD,Order statement live act court argue court.,Atorvastatin,"{""WBC"": 8154.2, ""Hgb"": 16.8, ""Platelets"": 257.8, ""Glucose"": 136.4}",Latex,2025-05-18,Emily White,Sort action free technology loss need trade.,True
115,Henry Campbell,446-15-3037,001-592-491-1117x5559,ambercarpenter@example.com,nMH-8192592,Other,1931-06-03,47,Hypertension,Born light ask former keep.,"Lisinopril, Hydrochlorothiazide","{""WBC"": 4255.0, ""Hgb"": 16.5, ""Platelets"": 231.2, ""Glucose"": 106.6}",None,2025-05-25,Kimberly Stevens,Parent stay security difference very our together hot force century development.,True
116,Isaac Wade,862-21-7521,835-782-7960x086,hernandezmelissa@example.org,LNo-4594872,Other,1929-07-05,51,Hypothyroidism,Rise its resource understand then.,Albuterol,"{""WBC"": 8485.7, ""Hgb"": 12.2, ""Platelets"": 275.9, ""Glucose"": 114.7}",Shellfish,2025-05-27,Peter Hayes,Product owner public probably economy different both bill so.,False
117,Christopher Henderson,310-57-8336,340.436.3909x756,schultzhenry@example.com,nYp-2373445,Female,1938-06-20,10,Anxiety,Beyond community only charge deep general.,Gabapentin,"{""WBC"": 9504.1, ""Hgb"": 13.1, ""Platelets"": 257.9, ""Glucose"": 82.4}",Pollen,2025-04-01,Kevin Fernandez,Guess or maybe end put go pass special save under involve amount top million.,True
118,Jeffrey Jacobs,779-60-0040,+1-591-472-5584,gregory02@example.org,Rsq-1381717,Other,1979-11-07,39,Migraine,Carry form agency life.,"Hydrochlorothiazide, Omeprazole, Lisinopril","{""WBC"": 5125.3, ""Hgb"": 13.9, ""Platelets"": 307.5, ""Glucose"": 136.7}",Penicillin,2025-05-09,Debbie Cross,Security process doctor herself cold television suffer account only discuss trial itself single.,False
119,Jennifer Jones,432-73-1302,212-774-7678,gbrown@example.net,HOZ-5993369,Other,1930-03-07,20,COPD,Along chance example account.,Hydrochlorothiazide,"{""WBC"": 7455.8, ""Hgb"": 16.1, ""Platelets"": 267.2, ""Glucose"": 72.0}",Pollen,2026-02-07,Elizabeth Williams,Various race every card decide program.,False
120,Tiffany Greer,845-44-0608,(321)364-4412x2511,douglashouse@example.org,HHQ-2911560,Other,1945-10-23,67,Asthma,Office indicate person measure game score leg.,"Levothyroxine, Albuterol","{""WBC"": 9453.2, ""Hgb"": 12.1, ""Platelets"": 272.7, ""Glucose"": 129.9}",Shellfish,2025-09-07,Jenna Harris,Play bit tough arrive value explain.,False
121,Lindsay Carroll,488-30-0982,(892)804-5670x547,benjaminlester@example.com,YSB-6718409,Male,2016-04-17,87,Obesity,Despite man step ready foot.,"Amlodipine, Metformin, Atorvastatin","{""WBC"": 9398.5, ""Hgb"": 13.8, ""Platelets"": 160.2, ""Glucose"": 124.1}",None,2025-07-08,Alison Ortiz,Theory friend nor near conference old world back appear point both.,False
122,Laura Ramirez,519-97-5067,996-467-5507x292,gfernandez@example.org,wjY-2550181,Male,1989-11-06,34,Asthma,Official feeling economy page sign.,"Metformin, Simvastatin","{""WBC"": 6521.4, ""Hgb"": 13.7, ""Platelets"": 286.2, ""Glucose"": 72.8}",Penicillin,2025-06-09,Theresa Ferguson,Service country avoid we technology table firm need opportunity subject.,True
123,Garrett Hayes,359-18-1750,693.460.2528x9880,pblair@example.net,YnZ-5277007,Male,2018-11-28,83,Anxiety,Interest create everybody process.,"Albuterol, Atorvastatin","{""WBC"": 6763.9, ""Hgb"": 16.4, ""Platelets"": 328.4, ""Glucose"": 72.7}",Shellfish,2025-08-23,Douglas Johnson,Say doctor major expert ability per operation.,False
124,Stephen Jenkins MD,756-62-6737,665-892-8197x09082,skinnerjason@example.net,STW-7758505,Female,1952-03-25,36,Arthritis,Figure do green sport itself company enough.,"Metformin, Hydrochlorothiazide","{""WBC"": 10822.0, ""Hgb"": 17.1, ""Platelets"": 214.1, ""Glucose"": 96.0}",None,2025-03-06,Carla Payne,Either national value want write receive down late development fear draw series.,False
125,Megan Bates,434-05-6249,+1-577-556-2696,juliesullivan@example.org,nFQ-1966193,Other,1940-06-19,64,Migraine,Beyond teach memory such.,"Metformin, Atorvastatin, Simvastatin","{""WBC"": 5743.2, ""Hgb"": 17.0, ""Platelets"": 253.3, ""Glucose"": 114.4}",Peanuts,2025-11-13,Brett Wade,Middle skill Congress let none present their continue property responsibility memory country parent.,True
126,Joseph Hester,465-06-7930,001-494-517-0084,kimpamela@example.net,LtI-4893363,Female,1971-10-27,22,Hypothyroidism,Early popular generation lawyer upon together.,Gabapentin,"{""WBC"": 8485.7, ""Hgb"": 12.7, ""Platelets"": 311.8, ""Glucose"": 108.3}",Shellfish,2025-07-12,John Young,Hundred language green scene prepare writer various course test spring theory write care.,False
127,Michael Williams,648-89-4046,321-760-3850x5655,lauragarcia@example.net,rBX-9228558,Other,1990-09-28,28,Hypertension,Onto bag hour everyone throughout second.,"Amlodipine, Metformin","{""WBC"": 8986.7, ""Hgb"": 16.5, ""Platelets"": 347.8, ""Glucose"": 130.0}",Pollen,2026-01-24,Daniel Martinez,Style practice position some mother camera usually see fish push discuss one explain.,True
128,Sarah Armstrong,768-23-9717,(378)544-0664,pvelazquez@example.net,NEA-9642230,Other,2003-09-05,74,Hypothyroidism,Material another development stock beautiful establish.,"Atorvastatin, Lisinopril","{""WBC"": 5305.5, ""Hgb"": 14.7, ""Platelets"": 378.5, ""Glucose"": 107.8}",Shellfish,2025-04-22,Sherry Rowe,Manager although language occur image poor.,False
129,James Torres,725-75-0370,456-276-3222x90547,brianna94@example.org,pyD-0046842,Other,1973-04-27,44,Diabetes,Analysis hair instead staff offer once happen knowledge.,"Amlodipine, Levothyroxine","{""WBC"": 6871.1, ""Hgb"": 13.3, ""Platelets"": 188.7, ""Glucose"": 71.2}",Penicillin,2025-06-30,Kimberly Sanchez,Push fish small always necessary child step public activity common thank sea.,False
130,Sarah Kramer,088-88-2679,242-976-4205,mendozarobert@example.org,RuA-1532838,Other,1963-06-26,87,Anxiety,None still receive team these keep.,Hydrochlorothiazide,"{""WBC"": 5652.1, ""Hgb"": 13.0, ""Platelets"": 282.2, ""Glucose"": 134.9}",None,2025-03-24,Brian Wright,Report ago state price represent hand wide point ok per contain kind.,True
131,Anna Thomas,570-76-5134,801-856-5239,ksummers@example.net,vTD-6011823,Female,1987-12-01,80,Migraine,Ask enter late own letter.,"Metformin, Atorvastatin, Hydrochlorothiazide","{""WBC"": 6443.1, ""Hgb"": 16.5, ""Platelets"": 316.0, ""Glucose"": 110.7}",Latex,2025-03-18,Sophia Hughes,Least to painting economy democratic rule ask measure condition.,True
132,Sara Tran,162-57-3557,+1-926-321-1481,vmorris@example.org,lwp-4891825,Female,1984-07-13,25,Arthritis,Above baby day run figure price.,Simvastatin,"{""WBC"": 7296.9, ""Hgb"": 16.7, ""Platelets"": 267.1, ""Glucose"": 102.6}",Latex,2025-08-19,Darren Vazquez,Baby assume increase despite half student activity person.,True
133,Emily Stewart,047-97-1210,590-883-9463,brownalexis@example.org,eQo-3854050,Female,1960-11-07,94,Diabetes,Front possible war suffer.,Omeprazole,"{""WBC"": 4429.8, ""Hgb"": 13.4, ""Platelets"": 190.8, ""Glucose"": 71.8}",Peanuts,2025-11-20,Cindy Thompson,International research commercial growth beat loss bill tonight wear so exactly size step.,False
134,David Ross,854-24-5857,(846)735-3024x261,browndonald@example.com,Spa-2168569,Other,1943-11-04,57,Diabetes,Cut ago five black have over night success.,"Gabapentin, Amlodipine, Omeprazole","{""WBC"": 8953.8, ""Hgb"": 12.7, ""Platelets"": 267.0, ""Glucose"": 75.9}",Peanuts,2025-04-28,Richard Allen,Former if window garden soldier into.,False
135,Ashley Stone,451-46-5286,492.262.2653x575,thompsontamara@example.com,xWH-2749810,Other,1958-10-01,25,Arthritis,Military plant around call challenge trade cultural force.,Hydrochlorothiazide,"{""WBC"": 4760.5, ""Hgb"": 16.9, ""Platelets"": 192.9, ""Glucose"": 111.1}",Penicillin,2025-06-22,Christopher Dunlap,Trip politics sport long defense condition management partner than.,False
136,Jeffrey Sellers,195-36-3729,996.472.7048x71142,christophersmith@example.com,uSO-2307262,Other,1973-03-28,79,Migraine,Large tonight allow feel group.,"Atorvastatin, Hydrochlorothiazide","{""WBC"": 10217.1, ""Hgb"": 14.5, ""Platelets"": 263.5, ""Glucose"": 139.3}",Latex,2025-08-07,John Martinez,According operation join executive dinner site from agency almost box walk.,True
137,Brian Jones,873-72-8940,(483)995-1755x921,carrcatherine@example.com,mIm-8415942,Other,2023-01-07,12,Obesity,Himself now within under scene meet feel decide.,"Omeprazole, Metformin","{""WBC"": 4119.5, ""Hgb"": 13.4, ""Platelets"": 190.5, ""Glucose"": 112.3}",Penicillin,2026-01-09,Kari Ford,Fall certain establish road election employee few put onto fast different.,True
138,Jeremy Rivera,190-20-7529,(437)638-8309x411,fhall@example.org,dag-7262260,Male,1992-03-25,38,Migraine,East culture whom sell amount garden.,"Lisinopril, Albuterol","{""WBC"": 9249.0, ""Hgb"": 13.1, ""Platelets"": 233.1, ""Glucose"": 82.0}",Peanuts,2025-10-30,Joy Hines,Sense statement consider scientist rather we building maintain me risk major class.,False
139,Michael Johnson,887-45-4837,805.635.0905x27230,mrivera@example.org,nQC-5812487,Female,1982-02-24,70,Arthritis,Many though dog summer image west.,Levothyroxine,"{""WBC"": 8324.7, ""Hgb"": 15.0, ""Platelets"": 351.0, ""Glucose"": 87.7}",Latex,2025-06-24,Carlos Guerrero,Senior capital leg son security radio yard check project difficult unit loss.,True
140,Mrs. Nancy Butler PhD,761-81-2764,810-883-0079,stevenaguirre@example.org,kPI-1817163,Other,1955-02-23,34,Anxiety,Relationship provide also.,"Atorvastatin, Lisinopril, Omeprazole","{""WBC"": 7306.4, ""Hgb"": 17.0, ""Platelets"": 312.8, ""Glucose"": 124.1}",Penicillin,2025-10-29,Amanda Robinson,Report thing risk often call nor figure.,False
141,Tiffany Gutierrez,774-75-6678,799.432.0099x92346,sharon64@example.org,DBC-8166293,Female,1996-02-17,17,Hypertension,Body national effect top evening.,"Lisinopril, Amlodipine, Atorvastatin","{""WBC"": 9152.1, ""Hgb"": 12.2, ""Platelets"": 248.8, ""Glucose"": 138.6}",Peanuts,2025-08-03,Nathan Freeman,Glass art represent by threat from yourself level kitchen discuss to onto hand.,False
142,Philip Wilson,541-51-9726,342-843-8197x840,montoyaandrew@example.com,MRp-6925120,Male,1938-01-04,64,COPD,Bring animal happen should same window power room.,"Lisinopril, Simvastatin, Gabapentin","{""WBC"": 10266.0, ""Hgb"": 16.9, ""Platelets"": 232.7, ""Glucose"": 80.0}",Pollen,2025-07-06,Joseph Snyder,Star trial scene order never measure method court alone.,False
143,Heather Diaz,080-22-1150,+1-498-513-6227x0202,monique94@example.net,uGf-0276684,Other,1986-03-13,73,Migraine,Side themselves hospital.,"Metformin, Albuterol","{""WBC"": 9637.5, ""Hgb"": 15.3, ""Platelets"": 284.0, ""Glucose"": 74.4}",Peanuts,2025-06-03,Elizabeth Lewis,Southern performance agency seem realize happy information cultural find federal after activity.,True
144,Dr. Haley Parker,884-07-7540,767-383-0439x0823,martinbilly@example.com,PTc-1544777,Male,1976-07-06,11,COPD,Daughter loss organization common fire entire TV.,"Lisinopril, Amlodipine, Omeprazole","{""WBC"": 4846.8, ""Hgb"": 15.0, ""Platelets"": 170.4, ""Glucose"": 94.1}",Pollen,2025-10-27,Michelle Farrell,Western defense entire thus family coach hit.,False
145,Jerry Smith,357-76-8770,+1-991-959-3306,jonathan14@example.net,mQN-7641819,Male,2011-06-02,23,Hypothyroidism,Public item loss structure sing woman traditional against.,"Metformin, Simvastatin, Lisinopril","{""WBC"": 7423.0, ""Hgb"": 16.1, ""Platelets"": 250.5, ""Glucose"": 103.6}",None,2025-06-30,Kelly Mckinney,Start field even your nature political.,False
146,Jill Smith,860-56-1458,6833622242,edward03@example.org,ptt-8747963,Male,1960-10-10,26,Arthritis,Never way not especially.,"Metformin, Atorvastatin","{""WBC"": 6027.5, ""Hgb"": 12.9, ""Platelets"": 346.5, ""Glucose"": 76.5}",Shellfish,2026-01-11,Michael Rodriguez,Husband official main feel attention animal economic hundred.,False
147,John Bailey,682-58-8383,227.636.9288x93174,deborahwalters@example.org,HtH-0673856,Male,2006-07-12,50,Arthritis,Save throughout subject that.,"Levothyroxine, Hydrochlorothiazide, Atorvastatin","{""WBC"": 5555.0, ""Hgb"": 14.6, ""Platelets"": 264.5, ""Glucose"": 137.2}",Shellfish,2026-02-05,Jillian Young,Full science community anything pressure history fall need its enough move name.,False
148,Melissa Campbell,883-71-0432,(896)269-3629,vjenkins@example.org,WYd-5615531,Male,2018-02-06,21,Diabetes,Pretty us create board toward history.,"Gabapentin, Atorvastatin, Metformin","{""WBC"": 7982.3, ""Hgb"": 12.6, ""Platelets"": 397.4, ""Glucose"": 84.0}",Penicillin,2025-12-29,Diane Davis,Believe test structure moment part trial system fly beyond many feeling.,True
149,Marco Holland,166-70-3313,238.636.4915x47465,christysloan@example.com,xfm-0820437,Other,1939-05-01,47,COPD,Ask modern pass consider long wide million.,Gabapentin,"{""WBC"": 9826.9, ""Hgb"": 15.2, ""Platelets"": 173.5, ""Glucose"": 133.5}",Shellfish,2025-09-26,Joshua Arellano,Name good station institution become finish analysis history shake story.,True
